"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-03-01,"BC","All","All",0,0.29
2020-03-01,"BC","Fraser","All",0,0.29
2020-03-01,"BC","Fraser","Fraser East",0,0
2020-03-01,"BC","Fraser","Fraser North",0,0.29
2020-03-01,"BC","Fraser","Fraser South",0,0
2020-03-01,"BC","Fraser","Unknown",0,0
2020-03-01,"BC","Interior","All",0,0
2020-03-01,"BC","Interior","East Kootenay",0,0
2020-03-01,"BC","Interior","Kootenay Boundary",0,0
2020-03-01,"BC","Interior","Okanagan",0,0
2020-03-01,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-01,"BC","Northern","All",0,0
2020-03-01,"BC","Northern","Northeast",0,0
2020-03-01,"BC","Northern","Northern Interior",0,0
2020-03-01,"BC","Northern","Northwest",0,0
2020-03-01,"BC","Northern","Unknown",0,0
2020-03-01,"BC","Vancouver Coastal","All",0,0
2020-03-01,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-03-01,"BC","Vancouver Coastal","Richmond",0,0
2020-03-01,"BC","Vancouver Coastal","Unknown",0,0
2020-03-01,"BC","Vancouver Coastal","Vancouver",0,0
2020-03-01,"BC","Vancouver Island","All",0,0
2020-03-01,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-03-01,"BC","Vancouver Island","North Vancouver Island",0,0
2020-03-01,"BC","Vancouver Island","South Vancouver Island",0,0
2020-03-01,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-03-02,"BC","All","All",0,0
2020-03-02,"BC","Fraser","All",0,0
2020-03-02,"BC","Fraser","Fraser East",0,0
2020-03-02,"BC","Fraser","Fraser North",0,0
2020-03-02,"BC","Fraser","Fraser South",0,0
2020-03-02,"BC","Fraser","Unknown",0,0
2020-03-02,"BC","Interior","All",0,0
2020-03-02,"BC","Interior","East Kootenay",0,0
2020-03-02,"BC","Interior","Kootenay Boundary",0,0
2020-03-02,"BC","Interior","Okanagan",0,0
2020-03-02,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-02,"BC","Northern","All",0,0
2020-03-02,"BC","Northern","Northeast",0,0
2020-03-02,"BC","Northern","Northern Interior",0,0
2020-03-02,"BC","Northern","Northwest",0,0
2020-03-02,"BC","Northern","Unknown",0,0
2020-03-02,"BC","Vancouver Coastal","All",0,0
2020-03-02,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-03-02,"BC","Vancouver Coastal","Richmond",0,0
2020-03-02,"BC","Vancouver Coastal","Unknown",0,0
2020-03-02,"BC","Vancouver Coastal","Vancouver",0,0
2020-03-02,"BC","Vancouver Island","All",0,0
2020-03-02,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-03-02,"BC","Vancouver Island","North Vancouver Island",0,0
2020-03-02,"BC","Vancouver Island","South Vancouver Island",0,0
2020-03-02,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-03-03,"BC","All","All",5,0.71
2020-03-03,"BC","Fraser","All",1,0.14
2020-03-03,"BC","Fraser","Fraser East",0,0
2020-03-03,"BC","Fraser","Fraser North",1,0.14
2020-03-03,"BC","Fraser","Fraser South",0,0
2020-03-03,"BC","Fraser","Unknown",0,0
2020-03-03,"BC","Interior","All",0,0
2020-03-03,"BC","Interior","East Kootenay",0,0
2020-03-03,"BC","Interior","Kootenay Boundary",0,0
2020-03-03,"BC","Interior","Okanagan",0,0
2020-03-03,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-03,"BC","Northern","All",0,0
2020-03-03,"BC","Northern","Northeast",0,0
2020-03-03,"BC","Northern","Northern Interior",0,0
2020-03-03,"BC","Northern","Northwest",0,0
2020-03-03,"BC","Northern","Unknown",0,0
2020-03-03,"BC","Vancouver Coastal","All",4,0.57
2020-03-03,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",1,0.14
2020-03-03,"BC","Vancouver Coastal","Richmond",0,0
2020-03-03,"BC","Vancouver Coastal","Unknown",0,0
2020-03-03,"BC","Vancouver Coastal","Vancouver",3,0.43
2020-03-03,"BC","Vancouver Island","All",0,0
2020-03-03,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-03-03,"BC","Vancouver Island","North Vancouver Island",0,0
2020-03-03,"BC","Vancouver Island","South Vancouver Island",0,0
2020-03-03,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-03-04,"BC","All","All",0,0.71
2020-03-04,"BC","Fraser","All",0,0.14
2020-03-04,"BC","Fraser","Fraser East",0,0
2020-03-04,"BC","Fraser","Fraser North",0,0.14
2020-03-04,"BC","Fraser","Fraser South",0,0
2020-03-04,"BC","Fraser","Unknown",0,0
2020-03-04,"BC","Interior","All",0,0
2020-03-04,"BC","Interior","East Kootenay",0,0
2020-03-04,"BC","Interior","Kootenay Boundary",0,0
2020-03-04,"BC","Interior","Okanagan",0,0
2020-03-04,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-04,"BC","Northern","All",0,0
2020-03-04,"BC","Northern","Northeast",0,0
2020-03-04,"BC","Northern","Northern Interior",0,0
2020-03-04,"BC","Northern","Northwest",0,0
2020-03-04,"BC","Northern","Unknown",0,0
2020-03-04,"BC","Vancouver Coastal","All",0,0.57
2020-03-04,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.14
2020-03-04,"BC","Vancouver Coastal","Richmond",0,0
2020-03-04,"BC","Vancouver Coastal","Unknown",0,0
2020-03-04,"BC","Vancouver Coastal","Vancouver",0,0.43
2020-03-04,"BC","Vancouver Island","All",0,0
2020-03-04,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-03-04,"BC","Vancouver Island","North Vancouver Island",0,0
2020-03-04,"BC","Vancouver Island","South Vancouver Island",0,0
2020-03-04,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-03-05,"BC","All","All",5,1.43
2020-03-05,"BC","Fraser","All",1,0.29
2020-03-05,"BC","Fraser","Fraser East",0,0
2020-03-05,"BC","Fraser","Fraser North",0,0.14
2020-03-05,"BC","Fraser","Fraser South",1,0.14
2020-03-05,"BC","Fraser","Unknown",0,0
2020-03-05,"BC","Interior","All",0,0
2020-03-05,"BC","Interior","East Kootenay",0,0
2020-03-05,"BC","Interior","Kootenay Boundary",0,0
2020-03-05,"BC","Interior","Okanagan",0,0
2020-03-05,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-03-05,"BC","Northern","All",0,0
2020-03-05,"BC","Northern","Northeast",0,0
2020-03-05,"BC","Northern","Northern Interior",0,0
2020-03-05,"BC","Northern","Northwest",0,0
2020-03-05,"BC","Northern","Unknown",0,0
2020-03-05,"BC","Vancouver Coastal","All",4,1.14
2020-03-05,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",2,0.43
